codigo,descricao_oficial,vertical_id,vertical,sub_vertical,sinonimos,tags,secao,divisao,grupo,classe
0312-4/03,Coleta de outros produtos aquáticos de água doce,AGRO,Agronegócio,Pesca e Aquicultura,"coleta de outros produtos aquáticos de água doce, piscicultura, peixe, pesca esportiva",Agro,A,03,03.1,03.12-4
0312-4/04,Atividades de apoio à pesca em água doce,AGRO,Agronegócio,Pesca e Aquicultura,apoio à pesca em água doce,Agro,A,03,03.1,03.12-4
0321-3/01,Criação de peixes em água salgada e salobra,AGRO,Agronegócio,Pesca e Aquicultura,peixes em água salgada e salobra,Agro,A,03,03.2,03.21-3
0321-3/02,Criação de camarões em água salgada e salobra,AGRO,Agronegócio,Pesca e Aquicultura,camarões em água salgada e salobra,Agro,A,03,03.2,03.21-3
0321-3/03,Criação de ostras e mexilhões em água salgada e salobra,AGRO,Agronegócio,Pesca e Aquicultura,ostras e mexilhões em água salgada e salobra,Agro,A,03,03.2,03.21-3
0321-3/04,Criação de peixes ornamentais em água salgada e salobra,AGRO,Agronegócio,Pesca e Aquicultura,peixes ornamentais em água salgada e salobra,Agro,A,03,03.2,03.21-3
0321-3/05,Atividades de apoio à aquicultura em água salgada e salobra,AGRO,Agronegócio,Pesca e Aquicultura,apoio à aquicultura em água salgada e salobra,Agro,A,03,03.2,03.21-3
0321-3/99,Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente,AGRO,Agronegócio,Pesca e Aquicultura,cultivos e semicultivos da aquicultura em água salgada e salobra,Agro,A,03,03.2,03.21-3
0322-1/01,Criação de peixes em água doce,AGRO,Agronegócio,Pesca e Aquicultura,"peixes em água doce, criação de tilápia, fazenda de peixe, aquicultura",Agro,A,03,03.2,03.22-1
0322-1/02,Criação de camarões em água doce,AGRO,Agronegócio,Pesca e Aquicultura,camarões em água doce,Agro,A,03,03.2,03.22-1
0322-1/03,Criação de ostras e mexilhões em água doce,AGRO,Agronegócio,Pesca e Aquicultura,ostras e mexilhões em água doce,Agro,A,03,03.2,03.22-1
0322-1/04,Criação de peixes ornamentais em água doce,AGRO,Agronegócio,Pesca e Aquicultura,"peixes ornamentais em água doce, carcinicultura, camarão",Agro,A,03,03.2,03.22-1
0322-1/05,Ranicultura,AGRO,Agronegócio,Pesca e Aquicultura,ranicultura,Agro,A,03,03.2,03.22-1
0322-1/06,Criação de jacaré,AGRO,Agronegócio,Pesca e Aquicultura,jacaré,Agro,A,03,03.2,03.22-1
0322-1/07,Atividades de apoio à aquicultura em água doce,AGRO,Agronegócio,Pesca e Aquicultura,apoio à aquicultura em água doce,Agro,A,03,03.2,03.22-1
0322-1/99,Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente,AGRO,Agronegócio,Pesca e Aquicultura,cultivos e semicultivos da aquicultura em água doce,Agro,A,03,03.2,03.22-1
0500-3/01,Extração de carvão mineral,EXT,Mineração e Extração,Extração de Carvão Mineral,extração de carvão mineral,"Extrativa, B2B",B,05,05.0,05.00-3
