Mapeamento Completo — 1.331 subclasses CNAE 2.3;;;;
;;;;
Subclasse CNAE;Descrição Oficial;Vertical;;
1081-3/01;Beneficiamento de café;Alimentação e Bebidas;;
1081-3/02;Torrefação e moagem de café;Alimentação e Bebidas;;
1082-1/00;Fabricação de produtos à base de café;Alimentação e Bebidas;;
1091-1/01;Fabricação de produtos de panificação industrial;Alimentação e Bebidas;;
1091-1/02;Fabricação de produtos de padaria e confeitaria com predominância de produção própria;Alimentação e Bebidas;;
1092-9/00;Fabricação de biscoitos e bolachas;Alimentação e Bebidas;;
1093-7/01;Fabricação de produtos derivados do cacau e de chocolates;Alimentação e Bebidas;;
1093-7/02;Fabricação de frutas cristalizadas, balas e semelhantes;Alimentação e Bebidas;;
1094-5/00;Fabricação de massas alimentícias;Alimentação e Bebidas;;
1095-3/00;Fabricação de especiarias, molhos, temperos e condimentos;Alimentação e Bebidas;;
1096-1/00;Fabricação de alimentos e pratos prontos;Alimentação e Bebidas;;
1099-6/01;Fabricação de vinagres;Alimentação e Bebidas;;
1099-6/02;Fabricação de pós-alimentícios;Alimentação e Bebidas;;
1099-6/03;Fabricação de fermentos e leveduras;Alimentação e Bebidas;;
1099-6/04;Fabricação de gelo comum;Alimentação e Bebidas;;
1099-6/05;Fabricação de produtos para infusão (chá, mate, etc.);Alimentação e Bebidas;;
1099-6/06;Fabricação de adoçantes naturais e artificiais;Alimentação e Bebidas;;
1099-6/07;Fabricação de alimentos dietéticos e complementos alimentares;Alimentação e Bebidas;;
1099-6/99;Fabricação de outros produtos alimentícios não especificados anteriormente;Alimentação e Bebidas;;
1111-9/01;Fabricação de aguardente de cana-de-açúcar;Alimentação e Bebidas;;
1111-9/02;Fabricação de outras aguardentes e bebidas destiladas;Alimentação e Bebidas;;
1112-7/00;Fabricação de vinho;Alimentação e Bebidas;;
1113-5/01;Fabricação de malte, inclusive malte uísque;Alimentação e Bebidas;;
1113-5/02;Fabricação de cervejas e chopes;Alimentação e Bebidas;;
1121-6/00;Fabricação de águas envasadas;Alimentação e Bebidas;;
1122-4/01;Fabricação de refrigerantes;Alimentação e Bebidas;;
1122-4/02;Fabricação de chá mate e outros chás prontos para consumo;Alimentação e Bebidas;;
1122-4/03;Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas;Alimentação e Bebidas;;
1122-4/04;Fabricação de bebidas isotônicas;Alimentação e Bebidas;;
1122-4/99;Fabricação de outras bebidas não alcoólicas não especificadas anteriormente;Alimentação e Bebidas;;
1210-7/00;Processamento industrial do fumo;Indústria e Manufatura;;
1220-4/01;Fabricação de cigarros;Indústria e Manufatura;;
1220-4/02;Fabricação de cigarrilhas e charutos;Indústria e Manufatura;;
1220-4/03;Fabricação de filtros para cigarros;Indústria e Manufatura;;
1220-4/99;Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos;Indústria e Manufatura;;
1311-1/00;Preparação e fiação de fibras de algodão;Moda, Têxtil e Calçados;;
1312-0/00;Preparação e fiação de fibras têxteis naturais, exceto algodão;Moda, Têxtil e Calçados;;
1313-8/00;Fiação de fibras artificiais e sintéticas;Moda, Têxtil e Calçados;;
1314-6/00;Fabricação de linhas para costurar e bordar;Moda, Têxtil e Calçados;;
1321-9/00;Tecelagem de fios de algodão;Moda, Têxtil e Calçados;;
1322-7/00;Tecelagem de fios de fibras têxteis naturais, exceto algodão;Moda, Têxtil e Calçados;;
1323-5/00;Tecelagem de fios de fibras artificiais e sintéticas;Moda, Têxtil e Calçados;;
1330-8/00;Fabricação de tecidos de malha;Moda, Têxtil e Calçados;;
1340-5/01;Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;Moda, Têxtil e Calçados;;
1340-5/02;Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário;Moda, Têxtil e Calçados;;
1340-5/99;Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;Moda, Têxtil e Calçados;;
1351-1/00;Fabricação de artefatos têxteis para uso doméstico;Moda, Têxtil e Calçados;;
1352-9/00;Fabricação de artefatos de tapeçaria;Moda, Têxtil e Calçados;;
1353-7/00;Fabricação de artefatos de cordoaria;Moda, Têxtil e Calçados;;
1354-5/00;Fabricação de tecidos especiais, inclusive artefatos;Moda, Têxtil e Calçados;;
1359-6/00;Fabricação de outros produtos têxteis não especificados anteriormente;Moda, Têxtil e Calçados;;
1411-8/01;Confecção de roupas íntimas;Moda, Têxtil e Calçados;;
1411-8/02;Facção de roupas íntimas;Moda, Têxtil e Calçados;;
1412-6/01;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;Moda, Têxtil e Calçados;;
1412-6/02;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;Moda, Têxtil e Calçados;;
1412-6/03;Facção de peças do vestuário, exceto roupas íntimas;Moda, Têxtil e Calçados;;
1413-4/01;Confecção de roupas profissionais, exceto sob medida;Moda, Têxtil e Calçados;;
1413-4/02;Confecção, sob medida, de roupas profissionais;Moda, Têxtil e Calçados;;
1413-4/03;Facção de roupas profissionais;Moda, Têxtil e Calçados;;
1414-2/00;Fabricação de acessórios do vestuário, exceto para segurança e proteção;Moda, Têxtil e Calçados;;
1421-5/00;Fabricação de meias;Moda, Têxtil e Calçados;;
1422-3/00;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;Moda, Têxtil e Calçados;;
1510-6/00;Curtimento e outras preparações de couro;Moda, Têxtil e Calçados;;
1521-1/00;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;Moda, Têxtil e Calçados;;
1529-7/00;Fabricação de artefatos de couro não especificados anteriormente;Moda, Têxtil e Calçados;;
1531-9/01;Fabricação de calçados de couro;Moda, Têxtil e Calçados;;
1531-9/02;Acabamento de calçados de couro sob contrato;Moda, Têxtil e Calçados;;
